Monthly Climate Data Summaries ( por - por )

Station:,SPOKANE INTL AP,State:,WA,ID:,24157
Latitude:,47.62167 degreeN,Longitude:,117.52806 degreeW,Elevation:,2358.0 feet
Station period of record:,maxt: 02/01/1881-10/23/2019; mint: 02/01/1881-10/23/2019; avgt: 02/01/1881-10/23/2019; hdd: 02/01/1881-10/23/2019; cdd: 02/01/1881-10/23/2019; pcpn: 02/01/1881-10/23/2019

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1897,DEC,35.2,25.2,30.2,51,28,5,18,0,0,13,0,22,0,0,1069,0,3.05,54,1897-12-06,17,9,2,0,0
1897,ANNUAL,57.9,38.7,48.30,100,,3,,0,18,38,0,129,0,0,6434,434,23.80,,1.66,134,69,11,1,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1898,JAN,31.8,20.3,26.1,40,31,2,24,0,0,16,0,31,0,0,1197,0,1.45,32,1898-01-19,11,6,0,0,0
1898,FEB,44.5,32.0,38.3,58,13,20,19,0,0,0,0,14,0,0,742,0,1.93,34,1898-02-05,15,9,0,0,0
1898,MAR,45.4,28.7,37.0,59,06,11,22,0,0,1,0,24,0,0,859,0,0.92,23,1898-03-04,11,2,0,0,0
1898,APR,61.5,38.5,50.0,78,25,29,19,0,0,0,0,3,0,0,442,0,0.76,25,1898-04-22,7,3,0,0,0
1898,MAY,67.1,43.1,55.1,83,25,34,07,0,0,0,0,0,0,0,305,2,1.63,84,1898-05-27,6,3,1,0,0
1898,JUN,75.7,50.4,63.0,90,18,41,02,0,1,0,0,0,0,0,98,47,1.21,85,1898-06-30,8,3,1,0,0
1898,JUL,83.8,54.9,69.3,98,11,46,06,0,8,0,0,0,0,0,22,164,0.43,30,1898-07-14,4,2,0,0,0
1898,AUG,88.2,58.3,73.2,104,08,49,31,0,14,0,0,0,0,0,19,280,1.00,53,1898-08-31,4,3,1,0,0
1898,SEP,73.5,47.4,60.5,88,18,37,28,0,0,0,0,0,0,0,146,19,0.47,15,1898-09-27,5,2,0,0,0
1898,OCT,57.5,36.2,46.8,67,08,27,07,0,0,0,0,8,0,0,556,0,0.35,11,1898-10-31,5,2,0,0,0
1898,NOV,39.8,30.3,35.1,54,04,20,09,0,0,2,0,21,0,0,889,0,1.99,33,1898-11-23,18,6,0,0,0
1898,DEC,30.5,18.5,24.5,50,28,-2,13,0,0,17,0,28,0,1,1247,0,0.94,46,1898-12-04,7,4,0,0,0
1898,ANNUAL,58.3,38.2,48.28,104,,-2,,0,23,36,0,129,0,1,6522,512,13.08,,0.85,101,45,3,0,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1899,JAN,34.3,20.3,27.3,54,27,-21,04,0,0,9,0,22,0,5,1163,0,3.81,78,1899-01-01,19,9,3,0,0
1899,FEB,30.6,18.8,24.7,50,19,-12,04,0,0,14,0,22,0,5,1124,0,1.39,40,1899-02-14,11,5,0,0,0
1899,MAR,45.7,29.9,37.8,54,31,18,22,0,0,0,0,22,0,0,835,0,1.21,58,1899-03-12,9,3,1,0,0
1899,APR,55.6,36.5,46.1,72,15,28,13,0,0,0,0,5,0,0,558,0,1.53,28,1899-04-04,12,7,0,0,0
1899,MAY,61.5,41.6,51.6,79,23,32,14,0,0,0,0,3,0,0,405,1,1.02,23,1899-05-08,11,5,0,0,0
1899,JUN,72.3,48.6,60.4,86,24,42,08,0,0,0,0,0,0,0,150,20,0.56,21,1899-06-25,9,3,0,0,0
1899,JUL,84.7,55.2,70.0,98,16,45,05,0,10,0,0,0,0,0,21,180,0.30,14,1899-07-31,5,1,0,0,0
1899,AUG,73.0,50.5,61.8,89,05,43,30,0,0,0,0,0,0,0,132,40,1.34,62,1899-08-27,12,4,1,0,0
1899,SEP,76.5,48.5,62.5,89,12,40,28,0,0,0,0,0,0,0,94,26,1.07,33,1899-09-13,6,4,0,0,0
