Monthly Climate Data Summaries ( por - por )

Station:,EVANSVILLE REGIONAL AP,State:,IN,ID:,93817
Latitude:,38.0441 degreeN,Longitude:,87.5205 degreeW,Elevation:,400.0 feet
Station period of record:,maxt: 08/01/1896-10/22/2019; mint: 08/01/1896-10/22/2019; avgt: 08/01/1896-10/22/2019; hdd: 08/01/1896-10/22/2019; cdd: 08/01/1896-10/22/2019; pcpn: 08/01/1896-10/22/2019

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1895,JAN,M,M,M,M,M,M,M,31,M,M,31,M,M,M,M,M,M,M,M,M,M,M,M,31
1897,OCT,77.6,48.4,63.0,93,02,33,29,0,4,0,0,0,0,0,128,73,2.15,75,1897-10-19,4,4,3,0,0
1897,NOV,55.7,35.3,45.5,74,14,18,30,0,0,0,0,12,0,0,577,0,5.11,57,1897-11-01,10,9,4,1,0
1897,DEC,42.1,30.6,36.4,68,10,15,24,0,0,4,0,19,0,0,881,0,2.91,92,1897-12-17,12,6,2,0,0
1897,ANNUAL,67.3,45.7,56.54,100,,-1,,0,62,13,0,91,6,4,4480,1484,52.74,,4.75,115,87,37,15,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1898,JAN,45.2,33.9,39.5,68,12,15,02,0,0,3,0,15,0,0,780,0,6.97,77,1898-01-22,12,11,4,2,0
1898,FEB,45.6,32.0,38.8,70,10,6,03,0,0,4,0,17,0,0,729,0,1.52,65,1898-02-19,8,4,1,0,0
1898,MAR,57.9,42.8,50.4,74,22,26,03,0,0,0,0,5,0,0,445,0,8.73,60,1898-03-20,16,12,7,2,0
1898,APR,62.4,45.1,53.7,80,30,29,06,0,0,0,0,2,0,0,336,7,4.15,88,1898-04-26,12,9,3,1,0
1898,MAY,76.6,59.0,67.8,87,24,38,06,0,0,0,0,0,0,0,48,144,4.61,15,1898-05-06,13,8,3,2,0
1898,JUN,87.5,68.6,78.1,93,03,60,01,0,10,0,0,0,1,0,0,399,1.71,85,1898-06-26,10,3,2,0,0
1898,JUL,87.3,70.0,78.6,96,23,57,11,0,10,0,0,0,6,0,0,430,2.90,12,1898-07-30,15,8,1,1,0
1898,AUG,87.0,68.7,77.8,95,22,61,13,0,10,0,0,0,2,0,0,404,3.85,50,1898-08-24,8,6,2,2,0
1898,SEP,83.2,64.6,73.9,95,03,52,08,0,6,0,0,0,3,0,2,277,3.26,25,1898-09-13,10,7,2,1,0
1898,OCT,64.9,49.0,57.0,87,05,32,27,0,0,0,0,1,0,0,322,81,4.50,50,1898-10-11,12,5,3,1,0
1898,NOV,52.2,36.7,44.5,72,21,14,27,0,0,1,0,8,0,0,609,0,1.05,40,1898-11-09,8,5,0,0,0
1898,DEC,41.4,27.0,34.2,61,19,8,14,0,0,6,0,24,0,0,946,0,1.53,70,1898-12-19,8,4,1,0,0
1898,ANNUAL,66.1,49.9,57.97,96,,6,,0,36,14,0,72,12,0,4217,1742,44.78,,2.50,132,82,29,12,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1899,JAN,40.0,27.1,33.6,60,23,-1,31,0,0,9,0,20,0,1,966,0,5.10,46,1899-01-13,11,7,3,3,0
1899,FEB,32.9,18.3,25.6,61,26,-15,09,0,0,13,0,20,0,6,1097,0,2.10,55,1899-02-26,8,7,1,0,0
1899,MAR,50.5,33.6,42.1,69,11,4,07,0,0,2,0,14,0,0,702,0,6.57,70,1899-03-18,18,11,5,1,0
1899,APR,66.5,50.4,58.5,90,29,26,01,0,1,0,0,4,0,0,274,85,2.64,94,1899-04-19,9,7,2,0,0
1899,MAY,76.6,61.0,68.8,87,15,50,23,0,0,0,0,0,0,0,29,154,5.40,45,1899-05-12,13,8,5,1,0
1899,JUN,85.8,69.0,77.4,94,22,58,18,0,10,0,0,0,1,0,0,379,3.76,15,1899-06-09,9,6,4,1,0
1899,JUL,87.7,68.8,78.2,94,14,58,09,0,12,0,0,0,1,0,0,418,3.27,81,1899-07-07,14,10,2,0,0
1899,AUG,89.2,71.1,80.1,95,02,66,23,0,17,0,0,0,6,0,0,478,3.22,48,1899-08-26,11,6,1,1,0
1899,SEP,80.2,61.0,70.6,98,07,33,30,0,9,0,0,0,3,0,77,252,1.02,48,1899-09-25,5,4,0,0,0
1899,OCT,73.6,53.1,63.4,90,14,37,01,0,1,0,0,0,0,0,118,76,2.13,29,1899-10-17,3,3,2,1,0
1899,NOV,59.0,43.5,51.3,75,10,32,04,0,0,0,0,1,0,0,404,0,3.64,53,1899-11-22,8,5,3,1,0
