Monthly Climate Data Summaries ( por - por )

Station:,SALEM AP (MCNARY FIELD),State:,OR,ID:,24232
Latitude:,44.905 degreeN,Longitude:,123.0011 degreeW,Elevation:,205.0 feet
Station period of record:,maxt: 01/01/1893-10/23/2019; mint: 01/01/1893-10/23/2019; avgt: 01/01/1893-10/23/2019; hdd: 01/01/1893-10/23/2019; cdd: 01/01/1893-10/23/2019; pcpn: 01/01/1893-10/23/2019

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1897,ANNUAL,64.0,42.9,53.96,95,,24,,40,9,0,2,45,0,0,3693,202,44.67,,3.11,143,100,31,8,30

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1898,JAN,M,M,M,M,M,M,M,15,0,0,13,8,0,0,284,0,3.43,54,1898-01-18,16,11,1,0,1
1898,FEB,52.2,38.2,45.2,67,14,28,02,0,0,0,0,4,0,0,548,0,5.64,80,1898-02-20,18,15,5,0,0
1898,MAR,53.9,32.4,43.1,63,06,24,22,0,0,0,0,18,0,0,673,0,2.15,40,1898-03-24,11,7,0,0,0
1898,APR,62.6,40.7,51.6,71,24,29,03,0,0,0,0,3,0,0,394,0,2.44,50,1898-04-21,9,8,1,0,0
1898,MAY,68.3,44.0,56.1,85,25,36,07,0,0,0,0,0,0,0,272,3,1.75,60,1898-05-21,12,5,1,0,0
1898,JUN,75.5,49.6,62.5,89,09,40,02,0,0,0,0,0,0,0,103,35,1.61,60,1898-06-15,8,3,1,0,0
1898,JUL,79.8,51.0,65.4,96,30,45,18,0,5,0,0,0,0,0,44,63,0.40,20,1898-07-21,2,2,0,0,0
1898,AUG,81.4,54.7,68.0,98,05,46,22,0,6,0,0,0,0,0,23,125,0.06,05,1898-08-30,2,0,0,0,0
1898,SEP,74.6,48.3,61.4,91,06,40,04,0,2,0,0,0,0,0,126,26,1.13,50,1898-09-30,6,5,1,0,0
1898,OCT,61.0,42.0,51.5,70,13,34,16,0,0,0,0,0,0,0,412,0,4.65,20,1898-10-17,11,9,3,1,0
1898,NOV,52.4,36.6,44.3,60,30,28,13,1,0,0,1,7,0,0,574,0,6.82,90,1898-11-18,18,16,4,2,0
1898,DEC,45.6,30.0,37.8,56,01,16,12,0,0,0,0,20,0,0,838,0,4.31,00,1898-12-19,13,12,2,1,0
1898,ANNUAL,63.5,42.1,53.01,98,,16,,16,13,0,14,60,0,0,4291,252,34.39,,2.20,126,93,19,4,1

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1899,JAN,51.3,37.5,44.4,68,18,26,07,0,0,0,0,10,0,0,633,0,5.76,10,1899-01-10,19,17,4,1,1
1899,FEB,48.4,34.6,43.0,64,19,3,06,0,0,5,3,7,0,0,545,0,6.35,60,1899-02-28,13,11,4,2,0
1899,MAR,55.0,33.2,44.1,68,06,25,26,1,0,0,1,14,0,0,620,0,4.13,80,1899-03-19,14,14,1,0,0
1899,APR,59.7,36.7,48.2,75,08,28,13,0,0,0,0,7,0,0,496,0,3.72,65,1899-04-18,14,11,1,0,0
1899,MAY,62.6,43.3,53.0,74,08,34,14,0,0,0,0,0,0,0,365,0,3.90,00,1899-05-24,13,10,2,1,0
1899,JUN,72.9,44.4,58.7,84,16,32,06,2,0,0,2,1,0,0,168,0,0.25,15,1899-06-26,2,2,0,0,0
1899,JUL,81.5,50.4,66.0,96,26,35,03,0,4,0,0,0,0,0,54,94,0.00,00,1899-07-31,0,0,0,0,0
1899,AUG,74.0,50.1,62.0,88,03,40,29,0,0,0,0,0,0,0,112,26,2.91,70,1899-08-26,8,7,4,0,0
1899,SEP,76.2,47.6,61.9,89,15,40,18,0,0,0,0,0,0,0,101,16,1.40,55,1899-09-30,5,5,1,0,0
1899,OCT,59.4,40.8,50.1,73,03,23,14,0,0,0,0,2,0,0,456,0,3.95,10,1899-10-18,10,9,4,1,0
1899,NOV,56.2,45.0,50.6,66,14,35,02,0,0,0,0,0,0,0,425,0,9.22,45,1899-11-27,22,21,8,2,0
1899,DEC,51.2,35.4,43.3,60,20,27,17,0,0,0,0,8,0,0,667,0,6.58,00,1899-12-09,17,16,5,1,0
1899,ANNUAL,62.4,41.7,52.21,96,,3,,3,4,5,6,49,0,0,4642,136,48.17,,1.60,137,123,34,8,1

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1900,JAN,50.9,35.5,43.0,60,17,23,25,1,0,0,1,9,0,0,632,0,4.15,90,1900-01-13,13,8,3,0,0
1900,FEB,50.2,35.4,42.8,60,21,21,16,0,0,0,0,7,0,0,615,0,2.98,01,1900-02-21,13,9,1,1,0
1900,MAR,61.5,39.0,50.3,76,15,30,23,0,0,0,0,3,0,0,450,0,4.25,05,1900-03-07,12,9,3,1,0
1900,APR,63.6,37.7,50.6,84,29,29,08,0,0,0,0,5,0,0,425,0,2.60,47,1900-04-06,11,10,0,0,0
1900,MAY,71.7,45.3,58.5,81,03,36,12,0,0,0,0,0,0,0,194,0,3.90,80,1900-05-25,11,11,3,0,0
1900,JUN,81.4,50.3,65.8,92,26,42,04,0,3,0,0,0,0,0,31,65,2.20,00,1900-06-24,6,5,1,1,0
1900,JUL,85.8,52.6,69.2,98,20,45,01,0,9,0,0,0,0,0,9,145,0.62,45,1900-07-04,2,2,0,0,0
1900,AUG,85.8,48.7,67.3,92,15,40,26,0,4,0,0,0,0,0,14,89,0.00,00,1900-08-31,0,0,0,0,0
1900,SEP,M,M,M,M,M,M,M,30,M,M,30,M,M,M,M,M,M,M,M,M,M,M,M,30
1900,OCT,74.9,36.3,55.5,81,18,31,15,2,0,0,0,3,0,0,270,0,4.70,70,1900-10-28,14,14,4,0,0
1900,NOV,M,35.9,M,M,M,20,21,30,M,M,0,7,0,0,M,M,2.76,50,1900-11-26,11,10,2,0,0
1900,DEC,M,38.2,M,M,M,25,30,31,M,M,0,3,0,0,M,M,6.86,00,1900-12-20,16,14,6,1,0
1900,ANNUAL,69.8,41.4,56.11,98,,20,,94,16,0,31,37,0,0,2640,299,35.02,,2.00,109,92,23,4,30

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1901,JAN,M,M,M,M,M,M,M,31,M,M,27,1,0,0,M,M,7.08,50,1901-01-13,12,10,5,5,1
1901,FEB,M,M,M,M,M,M,M,28,M,M,28,M,M,M,M,M,5.13,00,1901-02-15,13,12,4,1,0
1901,MAR,M,M,M,M,M,M,M,31,M,M,31,M,M,M,M,M,M,M,M,M,M,M,M,31
1901,APR,M,M,M,M,M,M,M,30,M,M,30,M,M,M,M,M,M,M,M,M,M,M,M,23
1901,MAY,65.4,M,M,85,26,M,M,2,0,0,5,0,0,0,201,6,1.79,65,1901-05-16,9,5,1,0,0
1901,JUN,67.7,49.9,M,86,18,43,05,3,0,0,2,0,0,0,157,13,M,M,M,M,M,M,M,5
1901,JUL,M,M,M,M,M,M,M,31,M,M,31,M,M,M,M,M,M,M,M,M,M,M,M,31
1901,AUG,M,M,M,M,M,M,M,12,4,0,12,0,0,0,23,68,0.30,30,1901-08-26,1,1,0,0,0
1901,SEP,71.2,48.4,59.6,84,20,38,16,0,0,0,1,0,0,0,158,10,3.25,70,1901-09-22,7,7,4,0,0
1901,OCT,70.3,48.8,59.4,89,15,44,01,0,0,0,1,0,0,0,170,9,1.25,75,1901-10-28,3,3,1,0,0
1901,NOV,M,M,M,M,M,M,M,30,M,M,30,M,M,M,M,M,4.39,35,1901-11-21,14,10,3,2,1
1901,DEC,44.4,36.5,40.6,56,24,25,13,1,0,0,0,9,0,0,724,0,5.32,50,1901-12-04,10,10,4,2,0
1901,ANNUAL,65.7,46.8,56.41,98,,25,,199,4,0,198,10,0,0,1433,106,29.73,,1.50,76,64,22,10,92

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1902,JAN,45.9,30.7,37.9,62,07,12,28,1,0,3,2,14,0,0,753,0,1.48,23,1902-01-07,13,8,0,0,0
1902,FEB,53.9,38.4,46.1,67,17,30,03,0,0,0,0,5,0,0,520,0,7.90,45,1902-02-09,19,16,6,1,2
1902,MAR,52.3,37.7,45.0,61,12,30,29,0,0,0,0,2,0,0,614,0,6.00,21,1902-03-05,19,13,4,1,0
1902,APR,59.7,39.3,49.5,71,15,31,09,0,0,0,0,2,0,0,459,0,3.71,69,1902-04-07,15,11,2,0,0
1902,MAY,65.3,46.7,56.0,87,26,37,03,0,0,0,0,0,0,0,278,8,3.59,30,1902-05-14,16,10,1,1,0
1902,JUN,72.4,49.4,60.9,91,20,44,08,0,1,0,0,0,0,0,134,17,0.90,26,1902-06-02,4,4,0,0,0
1902,JUL,M,M,M,M,M,M,M,31,M,M,31,M,M,M,M,M,M,M,M,M,M,M,M,31
1902,AUG,M,M,M,M,M,M,M,31,M,M,31,M,M,M,M,M,M,M,M,M,M,M,M,31
1902,SEP,74.4,44.8,59.6,90,10,32,22,0,1,0,0,1,0,0,185,30,0.42,19,1902-09-27,5,2,0,0,0
