Monthly Climate Data Summaries ( por - por )

Station:,LEXINGTON BLUEGRASS AP,State:,KY,ID:,93820
Latitude:,38.0408 degreeN,Longitude:,84.6058 degreeW,Elevation:,980.0 feet
Station period of record:,maxt: 10/11/1872-10/22/2019; mint: 10/11/1872-10/22/2019; avgt: 10/11/1872-10/22/2019; hdd: 10/11/1872-10/22/2019; cdd: 10/11/1872-10/22/2019; pcpn: 10/11/1872-10/22/2019

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1897,ANNUAL,66.0,46.5,56.56,96,,-6,,13,31,12,13,80,2,4,4018,1241,49.19,,2.30,142,80,39,12,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1898,JAN,45.6,30.0,M,68,12,11,02,2,0,2,2,18,0,0,746,0,9.56,38,1898-01-22,16,10,7,3,0
1898,FEB,44.2,27.6,35.6,66,10,-1,03,1,0,6,1,21,0,1,757,0,2.20,88,1898-02-20,10,4,1,0,0
1898,MAR,57.3,40.6,M,72,22,26,05,3,0,0,3,7,0,0,420,0,8.18,19,1898-03-28,16,12,9,1,0
1898,APR,60.5,41.9,M,77,17,22,05,2,0,0,2,5,0,0,336,0,3.29,75,1898-04-13,11,8,3,0,0
1898,MAY,75.6,56.4,66.5,85,19,33,07,1,0,0,1,0,0,0,61,109,6.13,46,1898-05-06,11,9,4,1,0
1898,JUN,84.1,64.7,74.4,93,10,57,20,0,3,0,0,0,0,0,0,288,7.94,77,1898-06-26,10,8,4,2,0
1898,JUL,85.5,66.9,76.2,96,03,54,11,0,4,0,0,0,0,0,1,356,5.72,35,1898-07-25,16,9,4,2,0
1898,AUG,85.3,66.2,75.8,92,31,60,28,0,6,0,0,0,0,0,0,340,2.99,34,1898-08-09,10,8,1,1,0
1898,SEP,82.1,61.9,72.0,92,01,49,12,0,3,0,0,0,0,0,10,227,3.55,96,1898-09-22,15,7,3,0,0
1898,OCT,64.7,48.3,56.7,87,02,27,27,1,0,0,1,1,0,0,295,62,5.27,93,1898-10-07,13,8,4,2,0
1898,NOV,51.4,34.4,42.8,71,04,12,27,1,0,1,1,12,0,0,611,0,2.89,58,1898-11-05,13,9,2,0,0
1898,DEC,42.6,24.3,M,63,22,-1,14,2,0,4,2,21,0,1,831,0,2.80,27,1898-12-04,13,4,2,1,0
